"Calculator","Index","Measured","Predicted","Z-Score","LLN","ULN","% Predicted","BDR % Change"
"Spirometry - pre-BD","FEV1","","","","","","",""
"","FVC","","","","","","",""
"","FEV1/FVC","","","","","","",""
"","FEF25-75","","","","","","",""
"","FEV0.75","","","","","","",""
"","FEF75","","","","","","",""
"","FEV0.75/FVC","","","","","","",""
"Spirometry - post-BD","FEV1","","","","","","",""
"","FVC","","","","","","",""
"","FEV1/FVC","","","","","","",""
"","FEF25-75","","","","","","",""
"","FEV0.75","","","","","","",""
"","FEF75","","","","","","",""
"","FEV0.75/FVC","","","","","","",""
"TLCO","TLCO","","","","","","",""
"","VA","","","","","","",""
"","KCO","","","","","","",""
"Lung Volume","FRC","","","","","","",""
"","TLC","","","","","","",""
"","RV","","","","","","",""
"","RV/TLC","","","","","","",""
"","ERV","","","","","","",""
"","IC","","","","","","",""
"","VC","","","","","","",""
"Multiple Breath Washout","FRC_MBW","","","","","","",""
"","LCI","","","","","","",""